description,category
"Paid ₹184.50 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹179.59 to Zomato using Bank Account",Food
"Paid ₹186.96 to Swiggy using Bank Account",Food
"Paid ₹830.00 to Starbucks using Bank Account",Food
"Paid ₹245.00 to MAHESHA using Bank Account",Food
"Paid ₹418.50 to Zomato Ltd using Bank Account",Food
"Paid ₹311.05 to Zomato using Bank Account",Food
"Paid ₹213.35 to Zomato using Bank Account",Food
"Paid ₹231.25 to Zomato Ltd using Bank Account",Food
"Paid ₹289.10 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹193.17 to Zomato using Bank Account",Food
"Paid ₹186.05 to Zomato using Bank Account",Food
"Paid ₹193.17 to Zomato Ltd using Bank Account",Food
"Paid ₹413.80 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹1.00 to Zomato Ltd using Bank Account",Food
"Paid ₹311.05 to Zomato Ltd using Bank Account",Food
"Paid ₹338.50 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹144.69 to Zomato using Bank Account",Food
"Paid ₹155.38 to Zomato Ltd using Bank Account",Food
"Paid ₹184.00 to Zomato Ltd using Bank Account",Food
"Paid ₹177.64 to Zomato Ltd using Bank Account",Food
"Paid ₹181.80 to Zomato using Bank Account",Food
"Paid ₹200.80 to Zomato using Bank Account",Food
"Paid ₹226.00 to Zomato Ltd using Bank Account",Food
"Paid ₹173.50 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹240.00 to Manjunath using Bank Account",Food
"Paid ₹611.88 to Zomato Ltd using Bank Account",Food
"Paid ₹193.59 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹395.05 to Zomato Ltd using Bank Account",Food
"Paid ₹302.30 to Zomato Ltd using Bank Account",Food
"Paid ₹287.82 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹281.13 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹371.95 to Zomato Ltd using Bank Account",Food
"Paid ₹258.25 to Zomato Ltd using Bank Account",Food
"Paid ₹242.80 to Zomato using Bank Account",Food
"Paid ₹394.00 to Zomato Ltd using Bank Account",Food
"Paid ₹100.00 to Swiggy using Bank Account",Food
"Paid ₹180.00 to Swiggy using Bank Account",Food
"Paid ₹100.00 to Swiggy Ltd using Bank Account",Food
"Paid ₹600.00 to Swiggy Ltd using Bank Account",Food
"Paid ₹610.10 to HMSHOST SERVICES INDIA PRIVATE LIMITED using Bank Account",Outing
"Paid ₹539.70 to HMSHOST SERVICES INDIA PRIVATE LIMITED using Bank Account",Outing
"Paid ₹656.00 to ELEVEN BAKE HOUSE using Bank Account",Outing
"Paid ₹80.00 to RAMJAN ALI using Bank Account",PeerPayment
"KFC standalone restaurant",Outing
"McDonald's restaurant",Outing
"Burger King",Outing
"Pizza Hut restaurant",Outing
"Domino's Pizza",Outing
"Subway restaurant",Outing
"Starbucks cafe",Outing
"Cafe Coffee Day",Outing
"Tim Hortons",Outing
"Costa Coffee",Outing
"Haldiram's",Outing
"Biryani Blues",Outing
"Faasos",Outing
"Behrouz Biryani",Outing
"Oven Story",Outing
"The Good Bowl",Outing
"Sweet Truth",Outing
"Firangi Bake",Outing
"Lunch Box",Outing
"Mandarin Oak",Outing
"Paid ₹50.40 to SHIV SAGAR NEXUS MALL using Bank Account",Outing
"Paid ₹428.00 to Subway Nexus Mall Koramanagala using Bank Account",Outing
"Paid ₹133.95 to K260 KFC Forum Mall Koramangala using Bank Account",Outing
"Paid ₹125.00 to TATA STARBUCKS PRIVATE LIMITED using Bank Account",Outing
"Paid ₹700.00 to CHULHA CHAUKI DA DHABA using Bank Account",Outing
"Paid ₹100.00 to Cafe Noir Orion Mall using Bank Account",Outing
"Paid ₹383.00 to Mitico Coffee Roasters using Bank Account",Outing
"Paid ₹1559.00 to Toscano Orion using Bank Account",Outing
"Paid ₹299.00 to Empire Restaurant Orion Mall using Bank Account",Outing
"Paid ₹123.00 to DAPHNY DELITES using Bank Account",Outing
"Paid ₹1171.00 to SaltNexus Mall Koramangala using Bank Account",Outing
"Paid ₹1050.00 to APPAREL GROUP INDIA using Bank Account",Outing
"Paid ₹599.00 to Brik Oven Koramangala using Bank Account",Outing
"Paid ₹180.00 to Balwant Singh Bhawanipur using Bank Account",Outing
"Paid ₹165.90 to K029 KFC DNC Mall Kolkata Kiosk using Bank Account",Outing
"Paid ₹627.90 to K029 KFC DNC Mall Kolkata Kiosk using Bank Account",Outing
"Paid ₹397.00 to Keventers Diamond Plaza Mall Kolkata using Bank Account",Outing
"Paid ₹2920.00 to Toscano Orion using Bank Account",Outing
"Paid ₹1913.00 to Zudio Innoviti using Bank Account",Shopping
"Paid ₹291.00 to Blinkit using Bank Account",Groceries
"Paid ₹439.00 to Blinkit using Bank Account",Groceries
"Paid ₹400.00 to Blinkit using Bank Account",Groceries
"Paid ₹558.00 to URBAN COMPANY LIMITED using Bank Account",HomeMaintenance
"Paid ₹45.00 to APOLLO PHARMACY using Bank Account",Pharmacy
"Paid ₹13.00 to PRIMEFAMILY PHARMACY using Bank Account",Pharmacy
"Paid ₹868.77 to Furlenco using Bank Account",HomeMaintenance
"Paid ₹632.24 to Furlenco using Bank Account",HomeMaintenance
"Paid ₹664.75 to Furlenco using Bank Account",HomeMaintenance
"Paid ₹440.55 to Furlenco using Bank Account",HomeMaintenance
"Paid ₹171.51 to Furlenco using Bank Account",HomeMaintenance
"Paid ₹60.00 to Bangalore Metro Rail Corporation Ltd using Bank Account",Transport
"Paid ₹50.00 to Bangalore Metro Rail Corporation Ltd using Bank Account",Transport
"Paid ₹7591.00 to IBIBO GROUP PRIVATE LIMITED using Bank Account",Transport
"Paid ₹7137.00 to IBIBO GROUP PRIVATE LIMITED using Bank Account",Transport
"Paid ₹6605.00 to IBIBO GROUP PRIVATE LIMITED using Bank Account",Transport
"Paid ₹119.00 to Spotify India using Bank Account",Subscriptions
"Paid ₹199.00 to NETFLIX COM using Bank Account",Entertainment
"Paid ₹470.00 to PVR INOX Limited using Bank Account",Entertainment
"Paid ₹1513.40 to BOOKMYSHOW using Bank Account",Entertainment
"Paid ₹530.80 to BOOKMYSHOW using Bank Account",Entertainment
"Paid ₹441.36 to BOOKMYSHOW using Bank Account",Entertainment
"Paid ₹100.00 to BOOKMYSHOW using Bank Account",Entertainment
"Paid ₹100.00 to INOX using Bank Account",Entertainment
"Paid ₹100.00 to PVR using Bank Account",Entertainment
"Paid ₹100.00 to PVR Entertainment using Bank Account",Entertainment
"Paid ₹29.00 to Jio Prepaid using Bank Account",Bills
"Paid ₹800.90 to Jio Prepaid using Bank Account",Bills
"Paid ₹49.00 to Airtel Prepaid using Bank Account",Bills
"Paid ₹96.80 to Airtel Payments Bank Limited using Bank Account",Bills
"Paid ₹21000.00 to Groww using Bank Account",Investment
"Paid ₹5000.00 to ICCLGroww using Bank Account",Investment
"Paid ₹24000.00 to GROWW INVEST TECH PVT LTD using Bank Account",Investment
"Paid ₹35000.00 to GROWW INVEST TECH PVT LTD using Bank Account",Investment
"Paid ₹30000.00 to GROWW INVEST TECH PVT LTD using Bank Account",Investment
"Paid ₹20000.00 to GROWW INVEST TECH PVT LTD using Bank Account",Investment
"Paid ₹79.00 to SADIQ PASHA S using Bank Account",Personal
"Paid ₹225.00 to KARTHIK S using Bank Account",Personal
"Paid ₹250.00 to A H LAKSHMANA using Bank Account",Personal
"Paid ₹50.00 to MAHADEVAPPA SUNIL using Bank Account",Personal
"Paid ₹90.00 to MAHADEVA M using Bank Account",Personal
"Paid ₹55.00 to GOWDAIAH S T using Bank Account",Personal
"Paid ₹50.00 to NAGARAJU T using Bank Account",Personal
"Paid ₹50.00 to LINGARAJ R using Bank Account",Personal
"Paid ₹260.00 to SHEKHAR using Bank Account",Personal
"Paid ₹60.00 to SHIVA PRASAD B K using Bank Account",Personal
"Paid ₹260.00 to EREGOWDA using Bank Account",Personal
"Paid ₹50.00 to GUNASHEKAR KUMAR using Bank Account",Personal
"Paid ₹50.00 to SATHISH D using Bank Account",Personal
"Paid ₹50.00 to KRISHNA MURTHY R C using Bank Account",Personal
"Paid ₹50.00 to REVANNA A using Bank Account",Personal
"Paid ₹50.00 to SRINIVAS A using Bank Account",Personal
"Paid ₹320.00 to RAJESH D S using Bank Account",Personal
"Paid ₹50.00 to SHRIDHARA using Bank Account",Personal
"Paid ₹80.00 to K Pavan using Bank Account",Personal
"Paid ₹340.00 to APPU T S using Bank Account",Personal
"Paid ₹220.00 to MANJUNATHA R using Bank Account",Personal
"Paid ₹65.00 to SUKUMAR CHOWDHURY using Bank Account",Personal
"Paid ₹1259.00 to RAM PRASAD BASTRALAYA using Bank Account",Personal
"Sent ₹255.00 using Bank Account",Transfer
"Sent ₹320.00 using Bank Account",Transfer
"Sent ₹150.00 using Bank Account",Transfer
"Sent ₹50.00 using Bank Account",Transfer
"Sent ₹180.00 using Bank Account",Transfer
"Sent ₹52.00 using Bank Account",Transfer
"Sent ₹170.00 using Bank Account",Transfer
"Sent ₹1800.00 using Bank Account",Transfer
"Sent ₹500.00 using Bank Account",Transfer
"Sent ₹200.00 using Bank Account",Transfer
"Sent ₹175.00 using Bank Account",Transfer
"Sent ₹800.00 using Bank Account",Transfer
"Sent ₹12000.00 using Bank Account",Transfer
"Sent ₹8000.00 using Bank Account",Transfer
"Sent ₹10000.00 using Bank Account",Transfer
"Received ₹1700.00",Transfer
"Received ₹500.00",Transfer
"Received ₹2000.00",Transfer
"Received ₹100.00",Transfer
"Received ₹1000.00",Transfer
"Received ₹300.00",Transfer
"Received ₹200.00",Transfer
"Paid ₹48.29 to Razorpay using Bank Account",Finance
"Paid ₹17.06 to Razorpay using Bank Account",Finance
"Paid ₹5.00 to APPLE MEDIA SERVICES using Bank Account",Subscriptions
"Paid ₹1649.00 to Apple Services using Bank Account",Subscriptions
"Paid ₹300.00 to CONFIDENCE PETROLEUM INDIA LIMITED using Bank Account",Transport
"Paid ₹7100.00 to Goibibo using Bank Account",Transport
"Paid ₹100.00 to Goibibo using Bank Account",Transport
"Paid ₹100.00 to Makemytrip using Bank Account",Transport
"Paid ₹100.00 to Ibibo using Bank Account",Transport
"Paid ₹100.00 to GOIBIBO using Bank Account",Transport
Paid ₹3637.00 to Goibibo using Bank Account 7633XXXXXXXX911",Transport
"Paid ₹1796.90 to HOUSE OF KIERAYA PRIVATE LIMITED using Bank Account",Home & Services
"Paid ₹610.10 to HMSHOST SERVICES INDIA PRIVATE LIMITED using Bank Account",Food
"Paid ₹539.70 to HMSHOST SERVICES INDIA PRIVATE LIMITED using Bank Account",Food
"Paid ₹4498.00 to HENNES N MAURITZ using Bank Account",Shopping
"Paid ₹343.00 to Mr CHANNAKESHAVA STORE using Bank Account",Shopping
"Paid ₹472.00 to EYE TURNERS using Bank Account",Shopping
"Paid ₹3500.00 to SBIMOPS using Bank Account",Finance
"Paid ₹1814.00 to 4ps 4 using Bank Account",Shopping
"Paid ₹656.00 to ELEVEN BAKE HOUSE using Bank Account",Food
"KFC standalone",Food
"McDonald's",Food
"Burger King",Food
"Pizza Hut",Food
"Domino's Pizza",Food
"Subway standalone",Food
"Starbucks standalone",Food
"Cafe Coffee Day",Food
"Tim Hortons",Food
"Costa Coffee",Food
"KFC at Phoenix Mills",Outing
"McDonald's at Select City Walk",Outing
"Subway Nexus Mall Koramanagala",Outing
"KFC Forum Mall Koramangala",Outing
"KFC DNC Mall Kolkata Kiosk",Outing
"KFC DNC Mall Kolkata Kiosk",Outing
"Keventers Diamond Plaza Mall Kolkata",Outing
"Toscano Orion",Outing
"Zudio Innoviti",Shopping
"Blindit",Groceries
"Amazon purchase",Shopping
"Flipkart order",Shopping
"Myntra fashion",Shopping
"Ajio clothing",Shopping
"Nykaa beauty",Shopping
"BigBasket groceries",Groceries
"Grofers delivery",Groceries
"Dunzo quick delivery",Groceries
"1mg pharmacy",Pharmacy
"PharmEasy medicines",Pharmacy
"Pizza Hut at DLF Mall",Outing
"Subway at Ambience Mall",Outing
"Starbucks at Forum Mall",Outing
"Hard Rock Cafe at Cyber Hub",Outing
"TGI Friday's at Metropolitan Mall",Outing
"Chili's at Express Avenue",Outing
"Food court at mall",Outing
"Restaurant at shopping center",Outing
"Cafe at airport",Outing
"Dining at hotel",Outing
"Movie theater snacks",Outing
"Gaming zone food",Outing
"Paid ₹1913.00 to Zudio Innoviti using Bank Account",Shopping
"Paid ₹4498.00 to HENNES N MAURITZ using Bank Account",Shopping
"Paid ₹343.00 to Mr CHANNAKESHAVA STORE using Bank Account",Shopping
"Paid ₹472.00 to EYE TURNERS using Bank Account",Shopping
"Paid ₹1814.00 to 4ps 4 using Bank Account",Shopping
"Amazon purchase",Shopping
"Flipkart order",Shopping
"Myntra fashion",Shopping
"Ajio clothing",Shopping
"Nykaa beauty",Shopping
"Meesho shopping",Shopping
"eBay purchase",Shopping
"Paytm Mall",Shopping
"Snapdeal order",Shopping
"H&M fashion",Shopping
"Zara clothing",Shopping
"Uniqlo apparel",Shopping
"Westside shopping",Shopping
"Max Fashion",Shopping
"Lifestyle stores",Shopping
"Paid ₹291.00 to Blinkit using Bank Account",Groceries
"Paid ₹439.00 to Blinkit using Bank Account",Groceries
"Paid ₹400.00 to Blinkit using Bank Account",Groceries
"Paid ₹558.00 to URBAN COMPANY LIMITED using Bank Account",Home & Services
"Paid ₹45.00 to APOLLO PHARMACY using Bank Account",Pharmacy
"Paid ₹13.00 to PRIMEFAMILY PHARMACY using Bank Account",Pharmacy
"Paid ₹868.77 to Furlenco using Bank Account",Home & Services
"Paid ₹632.24 to Furlenco using Bank Account",Home & Services
"Paid ₹664.75 to Furlenco using Bank Account",Home & Services
"Paid ₹440.55 to Furlenco using Bank Account",Home & Services
"Paid ₹171.51 to Furlenco using Bank Account",Home & Services
"Paid ₹1796.90 to HOUSE OF KIERAYA PRIVATE LIMITED using Bank Account",Shopping
"BigBasket groceries",Groceries
"Grofers delivery",Groceries
"Dunzo quick delivery",Groceries
"1mg pharmacy",Pharmacy
"PharmEasy medicines",Pharmacy
"Netmeds pharmacy",Pharmacy
"Zepto groceries",Groceries
"Instamart groceries",Groceries
"Nature's Basket",Groceries
"Spencer's grocery",Groceries
"More supermarket",Groceries
"D-Mart",Groceries
"Reliance Fresh",Groceries
"Big Bazaar",Groceries
"Housekeeping service",Home & Services
"Plumber service",Home & Services
"Electrician service",Home & Services
"Carpenter service",Home & Services
"Painting service",Home & Services
"Paid ₹60.00 to Bangalore Metro Rail Corporation Ltd using Bank Account",Transport
"Paid ₹50.00 to Bangalore Metro Rail Corporation Ltd using Bank Account",Transport
"Paid ₹7591.00 to IBIBO GROUP PRIVATE LIMITED using Bank Account",Transport
"Paid ₹7137.00 to IBIBO GROUP PRIVATE LIMITED using Bank Account",Transport
"Paid ₹6605.00 to IBIBO GROUP PRIVATE LIMITED using Bank Account",Transport
"Paid ₹300.00 to CONFIDENCE PETROLEUM INDIA LIMITED using Bank Account",Transport
"Uber ride",Transport
"Ola cab",Transport
"Rapido bike taxi",Transport
"Auto rickshaw fare",Transport
"Bus ticket",Transport
"Train reservation",Transport
"Flight booking",Transport
"Petrol pump",Transport
"Diesel fuel",Transport
"Metro card recharge",Transport
"BMTC bus pass",Transport
"Airport taxi",Transport
"Parking fees",Transport
"Toll charges",Transport
"Car rental",Transport
"Bike rental",Transport
"Paid ₹119.00 to Spotify India using Bank Account",Subscriptions
"Paid ₹199.00 to NETFLIX COM using Bank Account",Subscriptions
"Paid ₹470.00 to PVR INOX Limited using Bank Account",Entertainment
"Paid ₹1513.40 to BOOKMYSHOW using Bank Account",Entertainment
"Paid ₹530.80 to BOOKMYSHOW using Bank Account",Entertainment
"Paid ₹441.36 to BOOKMYSHOW using Bank Account",Entertainment
"Paid ₹5.00 to APPLE MEDIA SERVICES using Bank Account",Subscriptions
"Paid ₹1649.00 to Apple Services using Bank Account",Subscriptions
"Netflix subscription",Subscriptions
"Amazon Prime",Subscriptions
"Disney+ Hotstar",Subscriptions
"Spotify Premium",Subscriptions
"YouTube Premium",Subscriptions
"Zee5 subscription",Subscriptions
"SonyLIV",Subscriptions
"Voot Select",Subscriptions
"Apple Music",Subscriptions
"Google One",Subscriptions
"Adobe Creative",Subscriptions
"Microsoft Office",Subscriptions
"Paid ₹29.00 to Jio Prepaid using Bank Account",Bills
"Paid ₹800.90 to Jio Prepaid using Bank Account",Bills
"Paid ₹49.00 to Airtel Prepaid using Bank Account",Bills
"Paid ₹96.80 to Airtel Payments Bank Limited using Bank Account",Bills
"Airtel mobile recharge",Bills
"Jio mobile recharge",Bills
"Vi mobile recharge",Bills
"BSNL recharge",Bills
"Electricity bill",Bills
"Water bill",Bills
"Gas bill",Bills
"Broadband bill",Bills
"DTH recharge",Bills
"WiFi bill",Bills
"Landline bill",Bills
"Cable TV bill",Bills
"Maintenance charges",Bills
"Society charges",Bills
"Property tax",Bills
"Paid ₹21000.00 to Groww using Bank Account",Investment
"Paid ₹5000.00 to ICCLGroww using Bank Account",Investment
"Paid ₹24000.00 to GROWW INVEST TECH PVT LTD using Bank Account",Investment
"Paid ₹35000.00 to GROWW INVEST TECH PVT LTD using Bank Account",Investment
"Paid ₹30000.00 to GROWW INVEST TECH PVT LTD using Bank Account",Investment
"Paid ₹20000.00 to GROWW INVEST TECH PVT LTD using Bank Account",Investment
